window_id,mean_acc,std_acc,max_acc,mean_gyro,std_gyro,label
0,1.3236436110746794,1.8334406389858826,8.405833622541508,0.08127631079209476,0.09554482350285212,AGGRESSIVE
1,1.217098952481541,0.8889664571605318,4.095905667618019,0.10461675463261588,0.09268579795642228,AGGRESSIVE
2,1.7135811502305012,0.838895478930385,3.5821655756913144,0.11602272102973955,0.09033629977518616,AGGRESSIVE
3,1.7689358980446042,0.9545131697408441,4.530144832051246,0.12610084430534066,0.06944740946073685,AGGRESSIVE
4,2.4893751773760617,1.2172086916660427,6.04942703705812,0.19723116019019404,0.12633438346287443,AGGRESSIVE
5,2.7134257092016028,1.1802301444623478,5.931130476434523,0.23094852081070846,0.17097730528855853,AGGRESSIVE
6,2.136196499301842,1.4198025669196954,5.946596382552893,0.15394810007241727,0.10916512917389876,AGGRESSIVE
7,1.6187031523008644,0.744841465723256,3.837335397527322,0.09002815342989484,0.06725050812376196,AGGRESSIVE
8,1.0113896184042717,0.7954380281894365,3.599733437057355,0.15305979380373308,0.15007387692139607,AGGRESSIVE
9,1.5414228670041044,0.6608100718073521,3.46679427537352,0.11236746298082906,0.08332337180982842,AGGRESSIVE
10,1.7548936314112495,0.7427022048498042,3.6655378711218685,0.1508014863679879,0.09197112835263066,AGGRESSIVE
11,2.727456728070395,1.3565708422430363,6.774859142532363,0.17919438721392086,0.08983220427364355,AGGRESSIVE
12,1.8742792982689742,0.8657267712615722,4.308888397738967,0.16684542303676073,0.1047196647313862,AGGRESSIVE
13,1.842466581710584,1.0208261237467466,6.014793279947734,0.1130674173772266,0.07948985502153297,AGGRESSIVE
14,1.736756129688119,0.7579409256277629,3.338599754366573,0.11425590869340331,0.07889990316930845,AGGRESSIVE
15,1.038803481478352,0.551591823008266,2.9887234984417623,0.15286410881041468,0.18377450669794493,AGGRESSIVE
16,1.1287814241036525,0.9102451975875765,4.650695226095391,0.20700825230262018,0.2730044166598386,NORMAL
17,1.0971750087478984,0.7115313261381048,3.68059946030785,0.088898756792461,0.0768801381556818,NORMAL
18,1.1996430370968234,0.8528341983286158,4.771440201169276,0.09542926209373485,0.0963337156371686,NORMAL
19,1.2041612663580579,0.9113462012731918,6.314100652737429,0.08682817744384534,0.06285357874579982,NORMAL
20,2.00726089284892,1.1276573968638872,4.890687284543215,0.14105782859602972,0.07692030803799374,NORMAL
21,2.2460001792564985,0.9928405198394084,4.6388102319348885,0.24057277896972196,0.13140120026790827,NORMAL
22,2.0377332614658847,0.7565210452133376,3.417570016922522,0.20909289139320184,0.11447970715951641,NORMAL
23,1.6954413484799944,0.8262558645938641,3.882531291977967,0.1605188886278015,0.1183459869141488,NORMAL
24,1.2611400968573183,0.6277916726051149,3.7595381092599727,0.10630941619324519,0.06870779502085396,NORMAL
25,1.0261022171328933,0.6880056336091397,3.1652837236214375,0.13214747880787284,0.11902941183185634,NORMAL
26,0.9614459698464234,0.4765550314149955,2.1530448493292123,0.07993584693905884,0.08371080941548273,NORMAL
27,1.1575313051347234,0.5112468841865868,2.6341158305996606,0.10812753125253324,0.07316104631640151,NORMAL
28,1.4426234733394845,0.5957807293284137,3.255690068438317,0.13441809848467343,0.08967774971848914,NORMAL
29,1.4834841538261607,0.712114616641101,3.651568059169083,0.14552251965344476,0.08592680430887929,NORMAL
30,1.2638113455238569,0.5727605803579837,3.4261182924081965,0.12173692574587218,0.07780833357026107,NORMAL
31,1.3766131954138598,0.7314954602037942,4.535694841244542,0.09587560103565906,0.05846281874655552,NORMAL
32,1.450649530829602,0.8703174585031853,5.2297263026916365,0.08491086526771248,0.048374209501448946,NORMAL
33,1.4637860091809067,0.848222108239764,4.629008319984882,0.09121539605430405,0.06633793413114449,NORMAL
34,0.8672081485653278,0.5597459992594649,2.635187665067109,0.102393160716937,0.11332631433497142,NORMAL
35,0.9347172504523711,0.5635168183015709,2.7819903772803634,0.17564196035603227,0.1831138132334149,NORMAL
36,0.9759885046476205,0.9200166930543091,5.430008453556109,0.2339784670245857,0.32785401480766624,SLOW
37,0.9277128385419969,0.5192958340494075,2.346461845663005,0.06493008315758383,0.040461962848982395,SLOW
38,1.407481850583835,0.5844233568420972,2.6416965464218602,0.15891770037783076,0.09921870934700516,SLOW
39,1.524904616220621,0.764765602511038,3.402543366630412,0.11103879294035483,0.1141312453048075,SLOW
40,1.3570376970975209,0.7927048026789588,3.6664206753426427,0.12579105100236834,0.08389467564151294,SLOW
41,1.2874420771631199,0.520413605385898,2.625580234024963,0.1242693522200695,0.09908468003667363,SLOW
42,1.7080122124606165,0.681227916736465,3.2813654563185874,0.1718165991906252,0.09693982049237518,SLOW
43,1.631700594988009,0.7801797660793235,4.371707507057473,0.15910640396303774,0.1028168913349597,SLOW
44,1.6930291359519025,0.746665046295376,4.868730452880292,0.13479115514844447,0.061461010181220826,SLOW
45,1.2175025289598307,0.6118295967522336,2.873660393072302,0.12140680591044183,0.13975600924330714,SLOW
46,1.0315140882639107,0.5596734345325012,2.7029922024443964,0.08705907939674987,0.06997758964330478,SLOW
47,0.9170712141322482,0.41129813242819996,1.8568873677244535,0.06220493305149141,0.03569440763548153,SLOW
48,0.6796527027091915,0.4199281959510274,2.044571919587546,0.12339547826696981,0.11931128912030911,SLOW
49,0.8991793088707069,0.6617183424961299,3.6725468022612424,0.056657356596634664,0.05405773814273182,SLOW
50,1.005519120757179,0.4679410426519564,2.6963740985235067,0.07140772991395825,0.051616631008869665,SLOW
51,1.1154693428573146,0.5047318470017726,2.6375583586899376,0.08409926351258785,0.05161875021784424,SLOW
52,1.3074469897958878,0.6941507454365953,3.385558452702496,0.13149598645754335,0.05614295518323031,SLOW
53,1.3456219436389845,0.6684235223579575,3.162976500217896,0.1052764474066657,0.06475942461934785,SLOW
54,1.123361261473394,0.5836774465808873,2.935645143287929,0.11693077980211855,0.08635951904670267,SLOW
55,1.2836276484056532,0.6728721786900161,4.086684480890475,0.05681696676942894,0.05890851212231175,SLOW
56,1.370665713619108,0.9178449253808317,6.14497091403716,0.09948221727717543,0.06609233832562719,SLOW
57,1.1827704851523833,0.7608760582383345,4.276612253137739,0.060631716954800935,0.037232621439530655,SLOW
58,0.9653730410588791,0.5014506109616015,2.2236078586975547,0.06245869838752621,0.03324151695736601,SLOW
59,0.8972613333488357,0.49858839736049343,2.0622184286947514,0.06775565347251084,0.051792916478062355,SLOW
60,0.9002462056051485,0.48840065041275155,2.491750238857986,0.061660939888802044,0.03330746534140362,SLOW
